[2023-10-03 23:11:40,798 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: python3-tk
[2023-10-03 23:11:44,472 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: sox
[2023-10-03 23:11:57,498 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: alsa-tools
[2023-10-03 23:12:06,398 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: wget
[2023-10-03 23:12:07,280 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: espeak
[2023-10-03 23:12:19,439 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: jq
[2023-10-03 23:12:31,041 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: libstdc++6
[2023-10-03 23:12:49,559 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: perl
[2023-10-03 23:13:12,021 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: libportaudio2
[2023-10-03 23:13:13,019 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: libatlas3-base
[2023-10-03 23:13:29,228 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: libffi-dev
[2023-10-03 23:13:30,244 initial_setup.py->install_linux_dependencies():44]INFO: Installing optional dependency: rfkill
[2023-10-03 23:13:39,377 initial_setup.py->install_linux_dependencies():44]INFO: Installing optional dependency: kdeconnect
[2023-10-03 23:15:28,356 initial_setup.py->install_linux_dependencies():44]INFO: Installing optional dependency: xdotools
[2023-10-03 23:15:28,983 initial_setup.py->install_voice2json():74]INFO: Downloading Voice2json
[2023-10-03 23:17:01,855 initial_setup.py->install_voice2json():80]INFO: Installing Voice2json
[2023-10-03 23:19:32,151 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: python3-tk
[2023-10-03 23:19:33,055 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: sox
[2023-10-03 23:19:34,004 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: alsa-tools
[2023-10-03 23:19:34,907 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: wget
[2023-10-03 23:19:35,914 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: espeak
[2023-10-03 23:19:36,928 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: jq
[2023-10-03 23:19:37,835 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: libstdc++6
[2023-10-03 23:19:38,704 initial_setup.py->install_linux_dependencies():39]INFO: Installing essential dependency: perl
